Lp.;Wybór;Nazwa jaskini;Kod;Dł.;Den.;Gł.;Przew.;Zaznacz wszystkieOdznacz wszystkie Exportuj zaznaczone 
972;;SCHRON MICHAŁA;K.Bs-02.45;4.00;0.00;0.00;0.00;Szczegóły GPS
973;;SCHRON MIĘDZY DROGAMI;K.Bs-02.203;3.00;1.00;1.00;0.00;Szczegóły GPS
974;;SCHRON MIĘDZY ŚCIANAMI;K.Bż-04.05;2.50;0.00;0.00;0.00;Szczegóły
975;;SCHRON MUSZYNIANKA;K.Bsd-02.49;2.00;0.00;0.00;0.00;Szczegóły
976;;SCHRON NA BIAŁYM KRZYŻU I (SCHRON Z ŻEBRAMI);K.Bs-04.149;2.20;0.00;0.00;0.00;Szczegóły
977;;SCHRON NA BIAŁYM KRZYŻU II (SCHRON PODWÓJNA SZCZELINA);K.Bs-04.150;3.00;0.00;0.00;0.00;Szczegóły
978;;SCHRON NA BIAŁYM KRZYŻU III (SCHRON POD WKLĘSŁYM GŁAZEM);K.Bs-04.151;3.00;0.00;0.00;0.00;Szczegóły
979;;SCHRON NA BIAŁYM KRZYŻU IV (SCHRON POD PŁETWĄ);K.Bs-04.152;2.30;0.00;0.00;0.00;Szczegóły
980;;SCHRON NA BIAŁYM KRZYŻU IX (TRÓJKĄTNY SCHRON);K.Bs-04.157;2.30;0.00;0.00;0.00;Szczegóły
981;;SCHRON NA BIAŁYM KRZYŻU V (SCHRON WISZĄCY);K.Bs-04.153;3.00;0.00;0.00;0.00;Szczegóły
982;;SCHRON NA BIAŁYM KRZYŻU VI (SCHRON NISKI);K.Bs-04.154;1.40;0.00;0.00;0.00;Szczegóły
983;;SCHRON NA BIAŁYM KRZYŻU VII (KRÓTKI SCHRON);K.Bs-04.155;1.70;0.00;0.00;0.00;Szczegóły
984;;SCHRON NA BIAŁYM KRZYŻU VIII (SZCZELINA NA KRAWĘDZI);K.Bs-04.156;1.70;0.00;0.00;0.00;Szczegóły
985;;SCHRON NA BIAŁYM KRZYŻU X (ZIELONA SZCZELINA);K.Bs-04.162;1.50;0.00;0.00;0.00;Szczegóły
986;;SCHRON NA BIAŁYM KRZYŻU XI (SKOŚNY SCHRON);K.Bs-04.158;1.80;0.00;0.00;0.00;Szczegóły
987;;SCHRON NA BIAŁYM KRZYŻU XII (OPARTY SCHRON);K.Bs-04.159;2.00;0.00;0.00;0.00;Szczegóły
988;;SCHRON NA BIAŁYM KRZYŻU XIII (SCHRON POD ŚWIERKIEM);K.Bs-04.160;2.70;0.00;0.00;0.00;Szczegóły
989;;SCHRON NA BIAŁYM KRZYŻU XIV (DOLNY SCHRON);K.Bs-04.161;2.40;0.00;0.00;0.00;Szczegóły
990;;SCHRON NA BIAŁYM KRZYŻU XV (ROZWIDLONY SCHRON);K.Bs-04.163;1.60;0.00;0.00;0.00;Szczegóły
991;;SCHRON NA BIAŁYM KRZYŻU XVI (SCHRON POTRÓJNY);K.Bs-04.164;4.50;0.00;0.00;0.00;Szczegóły GPS
992;;SCHRON NA GRANI;K.Bs-04. 38;2.50;0.00;0.00;0.00;Szczegóły
993;;SCHRON NA GROJCU I;K.Kż-01.04;1.70;0.00;0.00;0.00;Szczegóły GPS
994;;SCHRON NA GROJCU II;K.Kż-02.01;1.60;0.00;0.00;0.00;Szczegóły GPS
995;;SCHRON NAD BEREŻKAMI I;K.Bsz-02.18;3.00;0.00;0.00;0.00;Szczegóły
996;;SCHRON NAD BEREŻKAMI II;K.Bsz-02.19;2.00;0.00;0.00;0.00;Szczegóły
997;;SCHRON NAD BEREŻKAMI III;K.Bsz-02.20;2.00;0.00;0.00;0.00;Szczegóły
998;;SCHRON NAD BEREŻKAMI IV;K.Bsz-02.21;2.00;0.00;0.00;0.00;Szczegóły
999;;SCHRON NAD CHODNIKIEM;K.Bsd-01.37;2.00;0.00;0.00;0.00;Szczegóły
1000;;SCHRON NAD CHODNIKIEM II;K.Bsd-01.38;3.00;0.00;0.00;0.00;Szczegóły
1001;;SCHRON NAD DROGĄ I;K.Bs-02.66;1.50;0.00;0.00;0.00;Szczegóły GPS
1002;;SCHRON NAD DROGĄ II;K.Bs-02.67;2.00;0.00;0.00;0.00;Szczegóły GPS
1003;;SCHRON NAD DROGĄ III;K.Bs-02.68;5.00;0.00;0.00;0.00;Szczegóły GPS
1004;;SCHRON NAD KOZAMI;K.Bm-01.02;2.50;0.00;0.00;0.00;Szczegóły GPS
1005;;SCHRON NAD MALINKĄ POD SZLAKIEM;K.Bs-03.101;3.60;0.00;0.00;0.00;Szczegóły GPS
1006;;SCHRON NAD OLZĄ I;K.Bs-01.05;5.00;0.00;0.00;0.00;Szczegóły GPS
1007;;SCHRON NAD OLZĄ II;K.Bs-01.06;3.00;0.00;0.00;0.00;Szczegóły GPS
1008;;SCHRON NAD PIŁKÓ;K.Bs-02.192;2.70;1.40;1.40;0.00;Szczegóły
1009;;SCHRON NAD PUSZYŃSKIM;K.Bs-02.179;3.00;0.00;0.00;0.00;Szczegóły GPS
1010;;SCHRON NAD ROWEM NA MURONCE;K.Bs-02.125;2.00;0.00;0.00;0.00;Szczegóły GPS
1011;;SCHRON NAD SZCZELINĄ MIĘDZY WANTAMI;K.Bn-07.26;2.00;0.00;0.00;0.00;Szczegóły
1012;;SCHRON NAD SZOSĄ;K.Bs-03. 78;2.10;0.00;0.00;0.00;Szczegóły GPS
1013;;SCHRON NAD TWARDORZECZKĄ II;K.Bs-02.217;1.70;0.00;0.00;0.00;Szczegóły
1014;;SCHRON NAD TWARDORZECZKĄ III;K.Bs-02.216;1.40;0.00;0.00;0.00;Szczegóły
1015;;SCHRON NAD WANTAMI I;K.Bm-02.33;5.00;2.00;2.00;0.00;Szczegóły
1016;;SCHRON NAD WANTAMI II;K.Bm-02.32;4.00;0.00;0.00;0.00;Szczegóły
1017;;SCHRON NAD WANTAMI III;K.Bm-02.31;8.00;2.50;2.50;0.00;Szczegóły
1018;;SCHRON NAD WILKOWICAMI I;K.Bm-01.10;2.00;0.00;0.00;0.00;Szczegóły
1019;;SCHRON NAD WILKOWICAMI II;K.Bm-01.11 N;3.00;0.70;0.00;0.00;Szczegóły GPS
1020;;SCHRON NAD WILKOWICAMI III;K.Bm-01.13;2.00;0.00;0.00;0.00;Szczegóły
1021;;SCHRON NAD WISŁOKĄ;K.Pst-01.16 N;2.00;0.00;0.00;0.00;Szczegóły
1022;;SCHRON NAD WYRCHMALINKAMI;K.Bs-03.163;5.00;0.00;0.00;0.00;Szczegóły GPS
1023;;SCHRON NAD WYRCHMALINKAMI;K.Bs-03.186;2.50;0.00;0.00;0.00;Szczegóły
1024;;SCHRON NAD WYRCHMALINKAMI II;K.Bs-03.164;3.70;0.00;0.00;0.00;Szczegóły
1025;;SCHRON NAD WYTRZYSZCZONĄ 2 - OTOMANA;K.Bs-02.266;1.00;0.00;0.00;0.00;Szczegóły GPS
1026;;SCHRON NIESTABILNY NA SKRZCZNEM;K.Bs-03.103;6.70;2.50;2.50;0.00;Szczegóły GPS
1027;;SCHRON OŚWIETLONY;K.Bż-04.04;3.50;0.00;0.00;0.00;Szczegóły
1028;;SCHRON PIEC;K.Pst-01.11;2.00;0.50;0.50;0.00;Szczegóły
1029;;SCHRON POD DROGĄ;K.Bs-03.59;4.00;0.00;0.00;0.00;Szczegóły GPS
1030;;SCHRON POD DROGĄ NA MURONCE;K.Bs-02.115;2.00;1.80;1.80;0.00;Szczegóły GPS
1031;;SCHRON POD DWOMA PŁYTAMI NA MURONCE;K.Bs-02.105;5.50;0.00;0.00;0.00;Szczegóły GPS
1032;;SCHRON POD FORTEPIANEM;K.Bs-04.119;2.00;0.00;0.00;0.00;Szczegóły
1033;;SCHRON POD GŁAZEM;K.Bs-04. 29;2.00;0.00;0.00;0.00;Szczegóły GPS
1034;;SCHRON POD GŁAZEM;K.G-01.11;2.00;0.00;0.00;0.00;Szczegóły
1035;;SCHRON POD GŁAZEM W LIPOWEJ;K.Bs-03.99;2.60;0.00;0.00;0.00;Szczegóły GPS
1036;;SCHRON POD GŁAZEM W WĄWOZIE NA GROJCU;K.Kż-01.03;3.50;1.80;0.00;1.80;Szczegóły GPS
1037;;SCHRON POD GRZYBEM;K.Pw-02.06;6.00;2.70;0.00;2.70;Szczegóły
1038;;SCHRON POD KOWADŁEM;K.Pr-02.26;3.50;1.00;1.00;0.00;Szczegóły GPS
1039;;SCHRON POD KRZYŻEM MALTAŃSKIM;K.Bż-04.12;5.50;1.50;1.50;0.00;Szczegóły
1040;;SCHRON POD MALINOWEM III;K.Bs-03. 53;5.00;2.00;2.00;0.00;Szczegóły GPS
1041;;SCHRON POD ODPĘKNIĘTA PŁYTĄ;K.Bs-03.162;2.00;0.00;0.00;0.00;Szczegóły GPS
1042;;SCHRON POD OKAPEM;K.Bż-04.06;3.00;0.00;0.00;0.00;Szczegóły
1043;;SCHRON POD OMSZAŁĄ PŁYTĄ;K.Bs-04.60;2.30;0.00;0.00;0.00;Szczegóły GPS
1044;;SCHRON POD PŁYTĄ;K.Bs-02.48;4.50;0.00;0.00;0.00;Szczegóły GPS
1045;;SCHRON POD PŁYTĄ;K.Bs-04.175;2.50;0.00;0.00;0.00;Szczegóły
1046;;SCHRON POD PŁYTĄ KAMIENNĄ PONIŻEJ PAJĘCZEJ;K.Bs-03.75;2.00;0.00;0.00;0.00;Szczegóły
1047;;SCHRON POD PŁYTĄ NA KOTARZU;K.Bs-04.55;3.00;0.00;0.00;0.00;Szczegóły GPS
1048;;SCHRON POD PŁYTĄ W LIPOWEJ;K.Bs-03.100;2.50;0.00;0.00;0.00;Szczegóły GPS
1049;;SCHRON POD POLANĄ PUSTAK;K.G-01.06;2.50;0.00;0.00;0.00;Szczegóły
1050;;SCHRON POD RASTOCZNE;K.Bs-02.191;5.60;0.00;0.00;0.00;Szczegóły
1051;;SCHRON POD STOŻKIEM;K.Bs-01.15;3.60;0.00;0.00;0.00;Szczegóły
1052;;SCHRON POD STOŻKIEM II;K.Bs-01.16;2.30;0.00;0.00;0.00;Szczegóły GPS
1053;;SCHRON POD STOŻKIEM III;K.Bs-01.17;1.50;0.00;0.00;0.00;Szczegóły GPS
1054;;SCHRON POD STOŻKIEM IV;K.Bs-01.18;2.00;0.00;0.00;0.00;Szczegóły GPS
1055;;SCHRON POD STOŻKIEM V;K.Bs-01.19;2.50;0.00;0.00;0.00;Szczegóły GPS
1056;;SCHRON POD STRAŻNICĄ I;K.Pst-02.04;4.00;3.00;3.00;0.00;Szczegóły
1057;;SCHRON POD STRAŻNICĄ II;K.Pst-02.05;4.50;1.50;1.50;0.00;Szczegóły
1058;;SCHRON POD STROPEM;K.Bs-03.67;7.00;0.00;0.00;0.00;Szczegóły
1059;;SCHRON POD SZLAKIEM NA KOTARZU;K.Bs-04.188;2.40;0.00;0.00;0.00;Szczegóły
1060;;SCHRON POD ŚCIANĄ;K.G-01.12;2.50;0.00;0.00;0.00;Szczegóły
1061;;SCHRON POD UPOROWYM WODOSPADEM;K.Bmk-02.21;5.00;0.50;0.00;0.00;Szczegóły
1062;;SCHRON POD USCHŁYM DRZEWEM;K.Bw-02.27;2.00;0.00;0.00;0.00;Szczegóły GPS
1063;;SCHRON POD WANTĄ;K.Bn-11.13;1.80;0.00;0.00;0.00;Szczegóły
1064;;SCHRON POD WIELKIM GŁAZEM NA MURONCE;K.Bs-02.134;4.20;0.00;0.00;0.00;Szczegóły GPS
1065;;SCHRON PODSKALNY WISZAR W WIŚLE CZARNEM;K.Bs-02.224;1.00;0.00;0.00;0.00;Szczegóły
1066;;SCHRON PODWÓJNIE DZIURAWY W MALINOWIE;K.Bs-03. 73;2.00;1.50;1.50;0.00;Szczegóły GPS
1067;;SCHRON PODWYŻNIAKÓWKA obiekt skreślony;K.Bw-02.41 X;0.90;0.00;0.00;0.00;Szczegóły
1068;;SCHRON PÓŁNOCNY NAD KAMESZNICĄ;K.Bs-02.166;4.00;0.00;0.00;0.00;Szczegóły GPS
1069;;SCHRON PRZY DRODZE DO BARWINKA I;K.Bn-09.84;4.00;0.00;0.00;0.00;Szczegóły
1070;;SCHRON PRZY DRODZE DO BARWINKA II;K.Bn-09.85;5.00;0.00;0.00;0.00;Szczegóły
1071;;SCHRON PRZY ONDRASZKU;K.Bs-03.48;1.50;0.00;0.00;0.00;Szczegóły
1072;;SCHRON PRZY SZLAKU NA GLINNE;K.Bs-02.236;1.10;0.00;0.00;0.00;Szczegóły
1073;;SCHRON PRZY ŚCIANIE;K.Bs-02. 79;4.00;0.00;0.00;0.00;Szczegóły
1074;;SCHRON PUKOWSKIEGO;K.Bs-03.70;6.50;1.00;1.00;0.00;Szczegóły GPS
1075;;SCHRON RATOWNIKÓW;K.Bs-04.107;3.60;1.80;1.80;0.00;Szczegóły GPS
1076;;SCHRON ROZKOPANY;K.Bż-04.13;3.50;1.00;1.00;0.00;Szczegóły
1077;;SCHRON SEZONOWY W BARANIEJ GÓRZE;K.Bs-02.85;4.00;0.00;0.00;0.00;Szczegóły GPS
1078;;SCHRON SKRZYNKOWY;K.Bs-04.197;4.50;2.00;2.00;0.00;Szczegóły
1079;;SCHRON STARY SKŁAD KRUCHY W WIŚLE CZARNE;K.Bs-02.184;2.30;1.70;1.40;0.00;Szczegóły GPS
1080;;SCHRON STAW;K.Pc-02.05;1.50;0.00;0.00;0.00;Szczegóły
1081;;SCHRON SZOPKA;K.Gst-02.06;4.50;1.00;1.00;0.00;Szczegóły
1082;;SCHRON TAJNY ŚMIETNIK;K.Bs-04.57;2.80;0.00;0.00;0.00;Szczegóły GPS
1083;;SCHRON W AMFITEATRZE;K.Bż-05.44;3.00;2.50;2.50;0.00;Szczegóły
1084;;SCHRON W BASZCIE;K.Gst-02.05 X;2.00;0.00;0.00;0.00;Szczegóły
1085;;SCHRON W BASZCIE;K.Gst-01.08;2.00;0.00;0.00;0.00;Szczegóły
1086;;SCHRON W GŁAZACH;K.Bs-04.104;3.00;0.00;0.00;0.00;Szczegóły
1087;;SCHRON W GŁAZACH IV;K.Bs-04.177;4.30;0.00;0.00;0.00;Szczegóły
1088;;SCHRON W GOŚCIEJOWIE;K.Bs-03.141;2.00;2.00;2.00;0.00;Szczegóły
1089;;SCHRON W JASIENIOWEJ;K.Ps-01.03;3.00;0.00;0.00;0.00;Szczegóły GPS
1090;;SCHRON W JÓZEFULI;K.Bs-01.24;3.60;0.00;0.00;0.00;Szczegóły GPS
1091;;SCHRON W KAMIENNYM;K.Bs-02.92 X;6.30;0.00;0.00;0.00;Szczegóły GPS
1092;;SCHRON W KAMIENNYM;K.Bs-03.167;6.30;0.00;0.00;0.00;Szczegóły
1093;;SCHRON W KOMINIE;K.Bn-07.28;3.00;0.00;0.00;0.00;Szczegóły
1094;;SCHRON W KOŚCIELCU 3;K.Bm-02.56;2.00;0.00;0.00;0.00;Szczegóły GPS
1095;;SCHRON W KOŚCIELCU 4;K.Bm-02.57;2.00;0.00;0.00;0.00;Szczegóły
1096;;SCHRON W KOŚCIELCU I;K.Bm-02.54;2.00;0.00;0.00;0.00;Szczegóły GPS
1097;;SCHRON W KOŚCIELCU II;K.Bm-02.55;3.00;0.00;0.00;0.00;Szczegóły GPS
1098;;SCHRON W LUBNIU I;K.Bw-01.08 N;4.50;0.00;0.00;0.00;Szczegóły
1099;;SCHRON W LUBNIU II;K.Bw-01.09 N;4.50;0.00;0.00;0.00;Szczegóły
1100;;SCHRON W MALINOWIE I;K.Bs-03.213;6.00;3.10;3.10;0.00;Szczegóły
1101;;SCHRON W MALINOWIE II;K.Bs-03.214;4.00;2.50;2.50;0.00;Szczegóły
1102;;SCHRON W NIEDŹWIEDZIEJ SKALE;K.Gst-02.03;11.00;5.00;0.00;5.00;Szczegóły GPS
1103;;SCHRON W OSTAŃCU NAD OLZĄ;K.Bs-01.09;1.10;1.80;0.00;0.00;Szczegóły GPS
1104;;SCHRON W RASTOCZNYM;K.Bs-02.113;2.50;0.00;0.00;0.00;Szczegóły GPS
1105;;SCHRON W ROWIE;K.Bż-02.02;2.50;0.00;0.00;0.00;Szczegóły
1106;;SCHRON W ROWIE NA OKRĄGLICY;K.Bż-05.07;2.00;0.00;0.00;0.00;Szczegóły GPS
1107;;SCHRON W ROZPADLINIE ZA SUCHĄ DZIURĄ;K.Bn-09.80;10.00;2.50;0.00;2.50;Szczegóły
1108;;SCHRON W SKALE;K.Bs-02.78;4.00;0.00;0.00;0.00;Szczegóły
1109;;SCHRON W SKALE NAD CIĘCINĄ;K.Bs-02.93;3.00;0.00;0.00;0.00;Szczegóły GPS
1110;;SCHRON W SKOLOŃCU I;K.Bw-02.30;3.00;0.00;0.00;0.00;Szczegóły
1111;;SCHRON W SKOLOŃCU II;K.Bw-02.31;2.00;0.00;0.00;0.00;Szczegóły
1112;;SCHRON W STOŁOWIE;K.Bs-04.32;3.00;0.00;0.00;0.00;Szczegóły GPS
1113;;SCHRON W STOŁOWIE II;K.Bs-04.116 X;2.80;0.00;0.00;0.00;Szczegóły
1114;;SCHRON W STOŁOWIE III;K.Bs-04.183;6.00;1.70;1.70;0.00;Szczegóły
1115;;SCHRON W STOŁOWIE IV;K.Bs-04.184;7.00;2.20;2.20;0.00;Szczegóły
1116;;SCHRON W STRAŻNICY;K.Bm-02.47;2.50;0.00;0.00;0.00;Szczegóły GPS
1117;;SCHRON W ŚCIANIE;K.Bn-07.32;3.00;1.00;0.00;1.00;Szczegóły
1118;;SCHRON W ŚCIANIE;K.Bs-04. 36;5.00;0.00;0.00;0.00;Szczegóły
1119;;SCHRON W ŚCIANIE ZA PŁYTĄ;K.Bs-02. 84;3.50;0.00;0.00;0.00;Szczegóły
1120;;SCHRON W TURNIACH;K.Bż-03.09;4.50;2.50;2.50;0.00;Szczegóły GPS
1121;;SCHRON W WILGOTNYM OKAPIE;K.Bs-03.71;2.80;0.00;0.00;0.00;Szczegóły GPS
1122;;SCHRON W WIŚLE CZARNE Z CIEKIEM WODNYM;K.Bs-02.183 X;2.50;0.00;0.00;0.00;Szczegóły GPS
1123;;SCHRON WŁÓCZĘGÓW;K.Bsz-02.11;2.00;0.00;0.00;0.00;Szczegóły
1124;;SCHRON WOŁOSATY;K.Bsz-02.14;1.50;0.00;0.00;0.00;Szczegóły
1125;;SCHRON Z CZASZKĄ;K.Bs-04.118;2.70;0.00;0.00;0.00;Szczegóły
1126;;SCHRON Z SOPLAMI LODOWYMI NAD TRASĄ FIS;K.Bs-03.173;1.20;1.00;0.00;0.00;Szczegóły GPS
1127;;SCHRON ZA GRZYBEM;K.Bs-02.75;3.00;0.00;0.00;0.00;Szczegóły GPS
1128;;SCHRON ZA GRZYBEM WYŻNI W WIŚLE CZARNE;K.Bs-02.170;3.00;0.00;0.00;0.00;Szczegóły GPS
1129;;SCHRON ZA JAWORAMI I;K.Bs-04.165;3.50;0.00;0.00;0.00;Szczegóły GPS
1130;;SCHRON ZA JAWORAMI II;K.Bs-04.166;1.60;0.00;0.00;0.00;Szczegóły GPS
1131;;SCHRON ZA JAWOREM III;K.Bs-04.167;1.80;0.00;0.00;0.00;Szczegóły GPS
1132;;SCHRON ZA PRZYSTANIĄ;K.Pr-01.33;4.00;0.00;0.00;0.00;Szczegóły
1133;;SCHRON ZAMIESZKAŁY NAD KAMESZNICĄ;K.Bs-02.165;6.00;2.50;1.50;1.00;Szczegóły GPS
1134;;SCHRONIK EROZYJNY W NIEDŹWIEDZIACH;K.Bs-02.210;2.00;0.00;0.00;0.00;Szczegóły GPS
1135;;SCHRONIK EROZYJNY Z FILAREM W NIEDŹWIEDZIACH;K.Bs-02.214;2.00;0.00;0.00;0.00;Szczegóły GPS
1136;;SCHRONISKO ARESA;K.Bw-01.20;4.00;0.00;0.00;0.00;Szczegóły GPS
1137;;SCHRONISKO CERGOWSKIE V;K.Bn-10.18;7.00;0.80;0.80;0.00;Szczegóły
1138;;SCHRONISKO CERGOWSKIE VI;K.Bn-10.19;3.50;0.00;0.00;0.00;Szczegóły
1139;;SCHRONISKO CERGOWSKIE VII;K.Bn-10.20;2.50;0.00;0.00;0.00;Szczegóły
1140;;SCHRONISKO ADOLFA (SCHRONISKO L-58);K.Bn-09.58 N;3.00;1.50;1.50;0.00;Szczegóły
1141;;SCHRONISKO ANDRZEJKOWE;K.Bmk-04.05;8.00;5.50;5.50;0.00;Szczegóły GPS
1142;;SCHRONISKO BACIARA;K.Pw-01.06;9.30;0.00;0.00;0.00;Szczegóły
1143;;SCHRONISKO BEZ LISA;K.Pwl-01.06;2.00;0.00;0.00;0.00;Szczegóły
1144;;SCHRONISKO BORSUCZE;K.Pr-02.30;5.00;0.00;0.00;0.00;Szczegóły GPS
1145;;SCHRONISKO BULARZY;K.Pw-02.02;9.10;3.40;0.00;0.00;Szczegóły
1146;;SCHRONISKO CERGOWSKIE I (SCHRONISKO C-8);K.Bn-10.08;7.00;0.00;0.00;0.00;Szczegóły
1147;;SCHRONISKO CERGOWSKIE II (SCHRONISKO C-9);K.Bn-10.09;5.00;0.00;0.00;0.00;Szczegóły
1148;;SCHRONISKO CERGOWSKIE III (SCHRONISKO C - 10);K.Bn-10.15;3.50;1.10;1.10;0.00;Szczegóły
1149;;SCHRONISKO CERGOWSKIE IV (SCHRONISKO C - 11);K.Bn-10.16;2.00;1.00;1.00;0.00;Szczegóły
1150;;SCHRONISKO CERGOWSKIE VIII;K.Bn-10.21;3.50;0.00;0.00;0.00;Szczegóły
1151;;SCHRONISKO CIAPKA;K.Bmk-04.02;4.00;0.00;0.00;0.00;Szczegóły
1152;;SCHRONISKO CIEPŁE;K.Bs-02.42;3.00;0.00;0.00;0.00;Szczegóły GPS
1153;;SCHRONISKO CZARNE DZIAŁY IV;K.Bm-02.09;3.00;0.00;0.00;0.00;Szczegóły GPS
1154;;SCHRONISKO CZAROWNIC;K.Pc-01.25;4.50;2.00;0.00;2.00;Szczegóły
1155;;SCHRONISKO CZUBAJKOWE;K.Bn-08.08;14.00;1.50;1.50;0.00;Szczegóły
1156;;SCHRONISKO DANY;K.Bn-07.41;1.50;0.00;0.00;0.00;Szczegóły
1157;;SCHRONISKO DENDROPRZERWA;K.Bn-06.09;3.50;1.00;1.00;0.00;Szczegóły
1158;;SCHRONISKO DESZCZOWE;K.Pr-02.29;2.50;1.80;0.00;1.80;Szczegóły GPS
1159;;SCHRONISKO DIABLI MOST;K.Pr-02.10;9.00;7.00;0.00;0.00;Szczegóły GPS
1160;;SCHRONISKO DŁUGIE;K.Bw-01.21;2.50;1.00;1.00;0.00;Szczegóły GPS
1161;;SCHRONISKO DROZDA ŚPIEWAKA;K.Bn-07.43;3.60;0.90;0.90;0.00;Szczegóły
1162;;SCHRONISKO DWÓCH ŚLIMAKÓW;K.Bw-04.08;6.00;0.00;0.00;0.00;Szczegóły
1163;;SCHRONISKO DWUPIĘTROWE NA ROMANCE;K.Bż-02.10;8.00;0.00;0.00;0.00;Szczegóły
1164;;SCHRONISKO DZIURAWIEC;K.Bż-02.08;2.00;0.00;0.00;0.00;Szczegóły
1165;;SCHRONISKO DŻDŻU;K.Bn-07.19;2.00;0.00;0.00;0.00;Szczegóły
1166;;SCHRONISKO EWY;K.Pst-02.03;6.00;2.50;2.50;0.00;Szczegóły
1167;;SCHRONISKO FILIPA;K.Pr-02.15;3.00;0.00;0.00;0.00;Szczegóły GPS
1168;;SCHRONISKO GANGUSIOWE I (SCHRONISKO L-35);K.Bn-09.07;4.00;0.00;0.00;0.00;Szczegóły
1169;;SCHRONISKO GANGUSIOWE II (SCHRONISKO L-34);K.Bn-09.08;4.00;0.00;0.00;0.00;Szczegóły
1170;;SCHRONISKO GANGUSIOWE III (SCHRONISKO L-33);K.Bn-09.09;3.00;0.00;0.00;0.00;Szczegóły
1171;;SCHRONISKO GANGUSIOWE IV (SCHRONISKO L-57);K.Bn-09.57;6.00;1.50;1.50;0.00;Szczegóły
1172;;SCHRONISKO GŁAZOWISKO;K.Bż-02.07;3.00;0.00;0.00;0.00;Szczegóły
1173;;SCHRONISKO GÓRNE;K.Bs-02.49;3.00;0.00;0.00;0.00;Szczegóły GPS
1174;;SCHRONISKO GÓRNICKIE WROTA;K.Bn-12.01;6.00;3.00;0.00;0.00;Szczegóły
1175;;SCHRONISKO HABSBURSKIE;K.Bn-11.07;2.30;0.00;0.00;0.00;Szczegóły
1176;;SCHRONISKO HIEROGLIFOWE;K.Bsz-01.09;2.50;1.00;0.00;1.00;Szczegóły
1177;;SCHRONISKO HUMUSOWE I (SCHRONISKO L-52);K.Bn-09.43;6.00;2.00;0.00;0.00;Szczegóły
1178;;SCHRONISKO HUMUSOWE II (SCHRONISKO L-53);K.Bn-09.44;4.00;0.00;0.00;0.00;Szczegóły
1179;;SCHRONISKO HUMUSOWE III (SCHRONISKO L-54);K.Bn-09.45;3.00;0.00;0.00;0.00;Szczegóły
1180;;SCHRONISKO III W GAŃCZORCE;K.Bs-02. 05;5.50;0.00;0.00;0.00;Szczegóły
1181;;SCHRONISKO JAMY;K.Bn-08.05;5.00;2.00;2.00;0.00;Szczegóły
1182;;SCHRONISKO KARAWANOWE (SCHRONISKO L-14);K.Bn-09.49;4.00;0.00;0.00;0.00;Szczegóły
1183;;SCHRONISKO KOŁO DACZY;K.Pr-01.04;11.00;0.00;0.00;0.00;Szczegóły
1184;;SCHRONISKO KOŁO KAPLICZKI DRUGIE;K.Pc-02.11;2.00;0.00;0.00;0.00;Szczegóły GPS
1185;;SCHRONISKO KOŁO KAPLICZKI PIERWSZE;K.Pc-02.10;6.50;2.50;2.50;0.00;Szczegóły GPS
1186;;SCHRONISKO KOŁO NIEDŹWIEDZIEJ;K.Bsd-02.48;2.50;1.00;1.00;0.00;Szczegóły
1187;;SCHRONISKO KOŁO OKAPU POD BUTANEM;K.Bn-04.27 N;3.50;1.50;1.50;0.00;Szczegóły
1188;;SCHRONISKO KOŁO WAROWNI;K.Pc-01.08;4.00;0.00;0.00;0.00;Szczegóły
1189;;SCHRONISKO KOSMY;K.Bn-06.08;2.30;0.00;0.00;0.00;Szczegóły
1190;;SCHRONISKO KOSTYWSKIE;K.Bsz-02.15;3.50;0.00;0.00;0.00;Szczegóły
1191;;SCHRONISKO KWIETNIOWE;K.Pr-02.22;3.00;0.00;0.00;0.00;Szczegóły GPS
1192;;SCHRONISKO KWIETNIOWE;K.Gst-01.07;2.50;1.00;0.00;1.00;Szczegóły
1193;;SCHRONISKO L-11;K.Bn-09.10 X;5.00;0.00;0.00;0.00;Szczegóły
1194;;SCHRONISKO L-8;K.Bn-09.23 X;8.00;0.00;0.00;0.00;Szczegóły
1195;;SCHRONISKO LISTOPADOWE;K.Bn-07.38;1.50;0.00;0.00;0.00;Szczegóły
1196;;SCHRONISKO LIŚCIASTE;K.Bs-02.36;4.00;0.00;0.00;0.00;Szczegóły GPS
1197;;SCHRONISKO MAGNEZJOWE;K.Pw-02.08;3.70;0.00;0.00;0.00;Szczegóły
1198;;SCHRONISKO MAJOWE;K.Bn-07.14;3.00;0.00;0.00;0.00;Szczegóły
1199;;SCHRONISKO MAŁE;K.Bn-04.01;3.50;0.00;0.00;0.00;Szczegóły
1200;;SCHRONISKO MAŁE POD BARANIĄ GÓRĄ;K.Bs-02.180;2.00;0.00;0.00;0.00;Szczegóły GPS
1201;;SCHRONISKO MIĘDZY DWOMA PŁYTAMI;K.Bs-02.51;2.00;0.00;0.00;0.00;Szczegóły GPS
1202;;SCHRONISKO MIKOŁAJA NA BARANIEJ GÓRZE;K.Bs-02.182;1.70;1.80;0.00;0.00;Szczegóły
1203;;SCHRONISKO MILENIJNE;K.Pc-02.04;3.00;1.50;0.00;1.50;Szczegóły
1204;;SCHRONISKO MINISTRANTÓW;K.Pr-01.49;2.10;0.00;0.00;0.00;Szczegóły
1205;;SCHRONISKO MIODOWE;K.Bn-09.77;4.00;1.50;1.50;0.00;Szczegóły
