Lp.;Wybór;Nazwa jaskini;Kod;Dł.;Den.;Gł.;Przew.;Zaznacz wszystkieOdznacz wszystkie Exportuj zaznaczone 
570;;JASKINIA W TRZECH KOPCACH;K.Bs-04. 10;1257.00;32.60;28.00;4.60;Szczegóły GPS
571;;JASKINIA W TRZECH KOPCACH II;K.Bs-04. 11;6.50;0.00;0.00;0.00;Szczegóły GPS
572;;JASKINIA W TRZECH KOPCACH III;K.Bs-04. 12;6.00;3.00;3.00;0.00;Szczegóły GPS
573;;JASKINIA W TRZECH KOPCACH IV;K.Bs-04. 31 N;6.70;1.10;1.10;0.00;Szczegóły GPS
574;;JASKINIA W TRZECH KOPCACH V;K.Bs-04.137;7.00;5.00;0.00;0.00;Szczegóły
575;;JASKINIA W ULICY GOŁAŹNEJ W CISOWNICY;K.Ps-01.05 N S;12.00;6.00;6.00;0.00;Szczegóły
576;;JASKINIA W ZAMCZYSKU;K.Bm-02.24;26.00;8.50;8.50;0.00;Szczegóły GPS
577;;JASKINIA W ZAMKOWEJ GÓRZE I;K.Bn-07.02;7.00;0.00;0.00;0.00;Szczegóły
578;;JASKINIA W ZAMKOWEJ GÓRZE V;K.Bn-07.06;8.00;4.00;0.00;4.00;Szczegóły
579;;JASKINIA W ZIELONYM KOPCU I;K.Bs-02.82;15.50;0.00;0.00;0.00;Szczegóły
580;;JASKINIA W ZIELONYM KOPCU II;K.Bs-02.83;8.50;0.00;0.00;0.00;Szczegóły
581;;JASKINIA W ZŁOTEJ GRAPIE;K.Bż-05.18;6.00;2.40;2.40;0.00;Szczegóły
582;;JASKINIA W ŻABNICY;K.Bż-02.06 N;5.00;0.00;0.00;0.00;Szczegóły GPS
583;;JASKINIA WETERANÓW;K.Bs-03. 52 X;6.00;0.00;0.00;0.00;Szczegóły GPS
584;;JASKINIA WĘŻOWA;K.Bs-03.112;28.00;0.00;0.00;0.00;Szczegóły GPS
585;;JASKINIA WIETRZNA;K.Pr-01.11;14.00;5.00;5.00;0.00;Szczegóły
586;;JASKINIA WILCZA;K.Bsz-01.07;24.50;3.00;3.00;0.00;Szczegóły
587;;JASKINIA WILGOTNA;K.Bn-09.41;22.00;5.00;5.00;0.00;Szczegóły
588;;JASKINIA WIŚLANKA;K.Bs-03.93;147.00;16.30;14.40;1.90;Szczegóły
589;;JASKINIA WIŚLANKA II (NACIEKOWA);K.Bs-03.94;32.00;6.50;6.50;0.00;Szczegóły
590;;JASKINIA WIŚLAŃSKA;K.Bs-04.65;2275.00;41.00;37.50;3.50;Szczegóły GPS
591;;JASKINIA WIŚLAŃSKA 2;K.Bs-04.66 X;136.00;12.60;11.50;1.10;Szczegóły
592;;JASKINIA WITOWICKA;K.Pw-01.05;16.40;3.00;2.00;1.00;Szczegóły
593;;JASKINIA WODNA W PIOTRUSIU;K.Bn-10.13;12.00;4.00;4.00;0.00;Szczegóły GPS
594;;JASKINIA WRONIA;K.Pr-01.02;20.00;6.00;0.00;0.00;Szczegóły
595;;JASKINIA WYSOKA;K.Pr-01.16;17.00;8.00;0.00;8.00;Szczegóły
596;;JASKINIA Z CZASZKĄ WILKA;K.Bs-04.132;6.00;2.00;2.00;0.00;Szczegóły
597;;JASKINIA Z DWOMA OTWORAMI;K.Bw-02.08;10.00;3.00;3.00;0.00;Szczegóły GPS
598;;JASKINIA Z SALKAMI;K.Bs-02. 89 N;8.00;0.00;0.00;0.00;Szczegóły GPS
599;;JASKINIA Z TV (GŁĘBOKA);K.Bs-04.127;185.00;25.00;25.00;0.00;Szczegóły
600;;JASKINIA Z WODOSPADEM;K.Bs-03.222;47.00;7.00;7.00;0.00;Szczegóły
601;;JASKINIA ZA BIAŁYM KRZYŻEM;K.Bs-03.133;5.30;2.30;2.30;0.00;Szczegóły GPS
602;;JASKINIA ZA FILAREM;K.Pr-01.09;20.00;8.00;0.00;0.00;Szczegóły
603;;JASKINIA ZA UPŁAZKIEM /za Upłozke/;K.Bs-03.124;15.00;5.00;5.00;0.00;Szczegóły
604;;JASKINIA ZA UPŁOZKE;K.Bs-03.121 X;6.00;0.00;0.00;0.00;Szczegóły
605;;JASKINIA ZACISKOWA;K.Pr-01.18;15.00;7.00;2.00;5.00;Szczegóły
606;;JASKINIA ZACISKOWA;K.Bs-03.211;9.00;5.50;5.50;0.00;Szczegóły
607;;JASKINIA ZAGUBIONA;K.Bs-04.142;7.50;2.60;2.60;0.00;Szczegóły
608;;JASKINIA ZAKRYTA;K.Bs-04.200;10.00;2.60;2.60;0.00;Szczegóły
609;;JASKINIA ZAMKOWA;K.Pw-01.02;13.00;3.00;0.00;3.00;Szczegóły GPS
610;;JASKINIA ZAPĘTLONA;K.Bs-04.143;137.00;9.50;9.50;0.00;Szczegóły
611;;JASKINIA ZBÓJA KLIMCZAKA;K.Bs-04.64;40.00;6.50;6.50;0.00;Szczegóły
612;;JASKINIA ZBÓJECKA;K.G-02.01;7.00;0.00;0.00;0.00;Szczegóły GPS
613;;JASKINIA ZBÓJECKA W ŁOPIENIU;K.Bw-02.09;433.00;20.30;18.80;1.50;Szczegóły GPS
614;;JASKINIA ZBÓJNICKA;K.Bsd-02.38 N;57.00;7.00;0.00;0.00;Szczegóły
615;;JASKINIA ZIMNA W ŚWINI GRONIU;K.G-02.05;20.00;1.70;0.00;0.00;Szczegóły
616;;JASKINIA ZŁOMANEGO KRÓMPOCZA;K.Bs-03.114;56.00;8.30;8.10;0.20;Szczegóły GPS
617;;JASKINIA ZŁOMISTA;K.Bn-02.02 N;12.00;3.00;3.00;0.00;Szczegóły
618;;JASKINIA ZŁOTNIAŃSKA;K.Bsd-02.14;155.00;12.00;12.00;0.00;Szczegóły GPS
619;;JASKINIA ZŁOTYCH PASÓW;K.Bs-03.195;16.00;5.40;5.40;0.00;Szczegóły
620;;JASKINIA ZMARZŁA (SCHRONISKO L-36);K.Bn-09.14 X;8.00;4.50;4.50;0.00;Szczegóły
621;;JASKINIA ZWIETRZAŁA;K.Bs-02. 80;7.00;2.00;0.00;2.00;Szczegóły
622;;JASKINIA ŻABIA;K.Pst-01.17;5.50;1.50;1.50;0.00;Szczegóły
623;;JASKINIA ŻMIJOWA;K.Bs-03.111 X;0.00;0.00;0.00;0.00;Szczegóły
624;;JASKINIA ŻÓŁTODZIOBA;K.Bs-04.133;103.50;15.80;15.80;0.00;Szczegóły GPS
625;;JASNA STUDNIA (SCHRONISKO L-29);K.Bn-09.47;4.00;4.00;4.00;0.00;Szczegóły
626;;JASNA SZPARA;K.Bn-04.04;6.00;3.00;0.00;0.00;Szczegóły
627;;JASNY SCHRON NA OKRĄGLICY;K.Bż-05.43;2.00;0.00;0.00;0.00;Szczegóły
628;;JASZCZURCZA SZCZELINA;K.Pr-01.42;8.00;6.00;6.00;0.00;Szczegóły
